,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude
171,1024,0.005,32,ICEH,171297.0,179586,0.7623511,0.5684636391980677,0.8067227758849316,7.548680782318115,152.375,3.634634256362915,0.2831385731697082,3976020.0,0.4370520412921905,8.605847358703613,10.651405334472656
172,1024,0.005,32,MCN,12224.0,17250,0.70142084,0.7575580281510254,0.8041045126536868,8.509714126586914,376.9375,10.478719711303713,0.3009502291679382,3237893.25,0.7111193537712097,7.286149978637695,7.211581707000732
173,1024,0.005,32,SCARF,18240.0,17250,0.7657905,0.5417663697799081,0.8012890344731731,,,,,,,,
174,1024,0.005,32,SUBTAB,13120.0,17250,0.7106103,0.6277464529482696,0.8061527307696642,,,,,,,,
175,1024,0.005,64,CLIP,34305.0,67266,0.719158,0.7838261202748238,0.8026704782368608,5.173769474029541,203.125,0.9705440998077391,0.0029043760150671,832346.3125,0.5521718263626099,7.036958694458008,5.972622871398926
176,1024,0.005,64,CONTROL,,67266,,,0.7985045472132588,,,,,,,,
177,1024,0.005,64,GMC,424256.0,191874,0.71122575,0.503563016750123,0.8064551270252097,7.48569917678833,442.875,2.023734331130981,0.2713243961334228,3339444.0,0.592046856880188,7.85129451751709,3.188241958618164
178,1024,0.005,64,ICEH,175425.0,208386,0.7131833,0.5942715631069055,0.8007978753376133,7.548680782318115,146.5,3.616729736328125,0.2426716983318328,3237893.25,0.3936282396316528,10.354849815368652,10.36611557006836
179,1024,0.005,64,MCN,40832.0,67266,0.7102885,0.6855501545789555,0.8042406848805628,44.47804260253906,457.75,11.175691604614258,0.248456597328186,3237893.25,0.3664523363113403,7.286149978637695,10.812986373901367
180,1024,0.005,64,SCARF,71296.0,67266,0.58068943,0.6482380252961042,0.8059508202263652,,,,,,,,
181,1024,0.005,64,SUBTAB,50816.0,67266,0.71084404,0.5734287603256112,0.8089240703662939,,,,,,,,
182,1024,0.005,128,CLIP,134145.0,265602,0.7079939,0.8138704091177167,0.8062269211553414,4.801150798797607,196.625,1.0595741271972656,0.0033978326246142,896891.0,0.6020587682723999,7.206649780273437,2.337804079055786
183,1024,0.005,128,CONTROL,,265602,,,0.7999517292933694,,,,,,,,
184,1024,0.005,128,GMC,432512.0,298626,0.71088105,0.5035038522653423,0.7975306810113933,7.409481048583984,321.5625,2.0696732997894287,0.2722050249576568,684411.3125,0.533842146396637,6.691549301147461,5.635979652404785
185,1024,0.005,128,ICEH,183681.0,315138,0.7415807,0.5779900603665569,0.8050868309248066,7.548680782318115,125.25,3.424700736999512,0.2480817884206771,3237893.25,0.4793297946453094,10.79189395904541,12.540493965148926
186,1024,0.005,128,MCN,147200.0,265602,0.7086383,0.7177694425766414,0.8019689564887474,9.718937873840332,457.75,4.320742130279541,0.2776889503002167,3237893.25,0.5345958471298218,13.86874294281006,10.812986373901367
187,1024,0.005,128,SCARF,281856.0,265602,0.66138726,0.4897983524099666,0.756475224167659,,,,,,,,
188,1024,0.005,128,SUBTAB,199936.0,265602,0.71110135,0.6262025416311368,0.7917813956808049,,,,,,,,
189,1024,0.007,32,CLIP,8961.0,17250,0.7139157,0.783383795317178,0.8027625118798529,5.022892951965332,187.375,1.3462270498275757,0.2537851631641388,888040.875,1.019903540611267,7.091806411743164,4.403024673461914
190,1024,0.007,32,CONTROL,,17250,,,0.8041045126536868,,,,,,,,
191,1024,0.007,32,GMC,420128.0,163074,0.7108885,0.4922729304638871,0.5,8.399011611938477,572.8125,1.55741548538208,0.2722217142581939,4996992.0,0.5819746255874634,4.684823989868164,4.070817947387695
192,1024,0.007,32,ICEH,171297.0,179586,0.6604983,0.7381830680635746,0.8015519877388648,7.410107135772705,104.8125,1.5394535064697266,0.2501934468746185,5524570.5,0.7366690039634705,13.41559600830078,12.794678688049316
193,1024,0.007,32,MCN,12224.0,17250,0.70943815,0.7005920204953289,0.8021004331215933,14.970666885375977,233.0625,3.746027946472168,0.2623025178909302,3237893.25,0.4917337596416473,13.86874294281006,7.211581707000732
