,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,V1,V6,V10,V12,V13,V14,V15
173,1024,0.005,32,SCARF,16096.0,15106,0.86607206,0.7419082747183623,0.7661048207239665,,,,,,,
174,1024,0.005,32,SUBTAB,9952.0,15106,0.82604164,0.7539851032195345,0.7621483101732716,,,,,,,
175,1024,0.005,64,CLIP,30017.0,58882,0.827249,0.7464973980671356,0.7677453250986447,950.5,6027304.5,191.58824157714844,1125857.0,10.20588207244873,18237.470703125,4.529411792755127
176,1024,0.005,64,CONTROL,,58882,,,0.7695109223994968,,,,,,,
177,1024,0.005,64,GMC,374336.0,171010,0.7619931,0.7727669125636187,0.7635136101103677,999.61767578125,3105099.5,98.38235473632812,184435.9375,7.558823585510254,28521.646484375,2.1764705181121826
178,1024,0.005,64,ICEH,158657.0,187522,0.7708605,0.7342204208840852,0.7767484416995483,512.941162109375,6606958.5,250.61764526367188,301843.3125,7.0,542458.6875,9.411765098571776
179,1024,0.005,64,MCN,36544.0,58882,0.8064092,0.7504288900325956,0.7704687768056271,858.7058715820312,3312932.25,134.0294189453125,253367.703125,9.235294342041016,29302.912109375,2.8235294818878174
180,1024,0.005,64,SCARF,62912.0,58882,0.7400196,0.7589995425172986,0.7659118202092983,,,,,,,
181,1024,0.005,64,SUBTAB,38336.0,58882,0.81895286,0.7463973237261966,0.7617909018127752,,,,,,,
182,1024,0.005,128,CLIP,117377.0,232450,0.8299735,0.7359609995997026,0.7715838908903757,838.1764526367188,6433505.0,194.8529357910156,1161444.25,18.441177368164062,18237.470703125,4.529411792755127
